Categoria,Tag,Fecha_Author_titulo,Enlace
Economico,,2021-10-28-FEDESARROLLO_PMTI_2015_2035_INF,https://drive.google.com/file/d/1EUpXAVWXGrfuBatzoMgCqM_-fGQOZAWE/view?usp=sharing
Planeacion,,2022-06-10-Gobierno_vision_Colombia_2050,https://drive.google.com/file/d/1E2fv0k8B79PDoO4y4c8FzbVWLxLFIMRG/view?usp=sharing
Otros_Libros,,2022-07-04-Mazzucato_Estado_Emprendedor_Book,https://drive.google.com/file/d/1ptdAuNa9mgDe3G5LqngRJn-IeEuGQfWg/view?usp=sharing
General,,2022-07-08-CEPAL_Gestion_Urbana_Desarrollo_Sostenible_Book,https://drive.google.com/file/d/1mqn0GgsW-bwxTJPbm9byKrlPhv0zpyKF/view?usp=sharing
Economico,,2022-07-11-ANIF_el_desempleo_cerca_a_un_digito,https://drive.google.com/file/d/1IjGU0U0PVAkJMl4fZR77JjFMx68M5l8d/view?usp=sharing
General,,2022-07-13-Contraloria_091_Puente Hisgaura,https://drive.google.com/file/d/1VZyRd2T2lz2pfj8YSgWoOoQdRVcxw4to/view?usp=sharing
Tecnico,,2022-07-13-MarcelPerez_Competitividad_Tarifas_Energia,https://drive.google.com/file/d/1p-hLWjxMOo4MWXsHNKfUl98Uu68kmfF0/view?usp=sharing
General,,2022-07-13-Contraloria_Hisgaura_Comunicado_091-PF,https://drive.google.com/file/d/1gJg3ICadwG5VxtUXl5d7C5Rv1BGX5irH/view?usp=sharing
Planeacion,,2006-11-01-BID-Gines de Rus et al_Manual_Evaluacion_Economica_de_Proyectos,https://drive.google.com/file/d/1Gj6TXb-aH0omFnvHOd4SNXru4LzdJ9EG/view?usp=sharing
Otros_Libros,,2015-10-01-Manuel_Rodiguez_PARA_DONDE_VA_EL_RIO_MAGDALENA_12042,https://drive.google.com/file/d/1FdyOo_xD3JzcrFAqdZZU1kOt882vjiiK/view?usp=sharing
Tecnico,,2022-07-30-Orlando_Castaneda_SIAB-CanalDiqueTpteFluv-v8.2,https://drive.google.com/file/d/1YCj1aibL0pOvznMPO48XG_kdGY_32Z17/view?usp=sharing
Planeacion,,2018-11-01-Plan_Nacional_Desarrollo_HOJA_RUTA,https://drive.google.com/file/d/1Tr1WmFmjYEV3ZkG3v4Z_0x2z0RmDx7iM/view?usp=sharing
